# Age (months), Mass (lb)
0.000000000000000000e+00,2.677500000000000000e+02
2.500000000000000000e+00,3.778299999999999841e+02
5.000000000000000000e+00,4.857300000000000182e+02
7.500000000000000000e+00,5.906399999999999864e+02
1.000000000000000000e+01,7.085499999999999545e+02
1.250000000000000000e+01,7.257100000000000364e+02
1.500000000000000000e+01,8.927999999999999545e+02
1.750000000000000000e+01,9.650700000000000500e+02
2.000000000000000000e+01,1.113670000000000073e+03
2.250000000000000000e+01,1.156390000000000100e+03
2.500000000000000000e+01,1.285730000000000018e+03
2.750000000000000000e+01,1.315559999999999945e+03
